task_id	category	score	summary	action	evidence
19890	entity_label_conflict	0.983571	Review 'BC12': currently ORGANISM, but 13/14 matching annotations use STRAIN.	"{""current_label"": ""ORGANISM"", ""kind"": ""replace_entity_label"", ""result_id"": ""UlVarJX4fZ"", ""suggested_label"": ""STRAIN""}"	"{""dominant_fraction"": 0.9285714285714286, ""label_counts"": {""ORGANISM"": 1, ""STRAIN"": 13}, ""surface"": ""BC12""}"
19658	entity_label_conflict	0.9825	Review 'tumor': currently ISOLATE, but 11/12 matching annotations use DISEASE.	"{""current_label"": ""ISOLATE"", ""kind"": ""replace_entity_label"", ""result_id"": ""DKvpPKI9ko"", ""suggested_label"": ""DISEASE""}"	"{""dominant_fraction"": 0.9166666666666666, ""label_counts"": {""DISEASE"": 11, ""ISOLATE"": 1}, ""surface"": ""tumor""}"
22676	entity_label_conflict	0.97875	Review 'DMSO': currently MEDIUM, but 7/8 matching annotations use COMPOUND.	"{""current_label"": ""MEDIUM"", ""kind"": ""replace_entity_label"", ""result_id"": ""PDLJSNppFS"", ""suggested_label"": ""COMPOUND""}"	"{""dominant_fraction"": 0.875, ""label_counts"": {""COMPOUND"": 7, ""MEDIUM"": 1}, ""surface"": ""DMSO""}"
23108	entity_label_conflict	0.977143	Review 'water': currently ISOLATE, but 6/7 matching annotations use COMPOUND.	"{""current_label"": ""ISOLATE"", ""kind"": ""replace_entity_label"", ""result_id"": ""aaxunFbcDr"", ""suggested_label"": ""COMPOUND""}"	"{""dominant_fraction"": 0.8571428571428571, ""label_counts"": {""COMPOUND"": 6, ""ISOLATE"": 1}, ""surface"": ""water""}"
21787	entity_omission	0.948719	Review unannotated 'gram-positive' as PHENOTYPE; the exact mention is labeled PHENOTYPE in 69 other occurrences.	"{""end"": 220, ""kind"": ""add_entity"", ""start"": 207, ""suggested_label"": ""PHENOTYPE"", ""text"": ""gram-positive""}"	"{""label"": ""PHENOTYPE"", ""support"": 69, ""surface"": ""gram-positive""}"
19320	entity_omission	0.94012	Review unannotated 'E. coli' as SPECIES; the exact mention is labeled SPECIES in 52 other occurrences.	"{""end"": 156, ""kind"": ""add_entity"", ""start"": 149, ""suggested_label"": ""SPECIES"", ""text"": ""E. coli""}"	"{""label"": ""SPECIES"", ""support"": 52, ""surface"": ""e. coli""}"
19341	entity_omission	0.94012	Review unannotated 'E. coli' as SPECIES; the exact mention is labeled SPECIES in 52 other occurrences.	"{""end"": 134, ""kind"": ""add_entity"", ""start"": 127, ""suggested_label"": ""SPECIES"", ""text"": ""E. coli""}"	"{""label"": ""SPECIES"", ""support"": 52, ""surface"": ""e. coli""}"
19617	entity_omission	0.94012	Review unannotated 'E. coli' as SPECIES; the exact mention is labeled SPECIES in 52 other occurrences.	"{""end"": 80, ""kind"": ""add_entity"", ""start"": 73, ""suggested_label"": ""SPECIES"", ""text"": ""E. coli""}"	"{""label"": ""SPECIES"", ""support"": 52, ""surface"": ""e. coli""}"
20766	entity_omission	0.94012	Review unannotated 'E. coli' as SPECIES; the exact mention is labeled SPECIES in 52 other occurrences.	"{""end"": 68, ""kind"": ""add_entity"", ""start"": 61, ""suggested_label"": ""SPECIES"", ""text"": ""E. coli""}"	"{""label"": ""SPECIES"", ""support"": 52, ""surface"": ""e. coli""}"
20903	entity_omission	0.94012	Review unannotated 'E. coli' as SPECIES; the exact mention is labeled SPECIES in 52 other occurrences.	"{""end"": 163, ""kind"": ""add_entity"", ""start"": 156, ""suggested_label"": ""SPECIES"", ""text"": ""E. coli""}"	"{""label"": ""SPECIES"", ""support"": 52, ""surface"": ""e. coli""}"
20903	entity_omission	0.936393	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 46 other occurrences.	"{""end"": 148, ""kind"": ""add_entity"", ""start"": 143, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 46, ""surface"": ""human""}"
20498	entity_omission	0.938314	Review unannotated 'glucose' as COMPOUND; the exact mention is labeled COMPOUND in 49 other occurrences.	"{""end"": 26, ""kind"": ""add_entity"", ""start"": 19, ""suggested_label"": ""COMPOUND"", ""text"": ""glucose""}"	"{""label"": ""COMPOUND"", ""support"": 49, ""surface"": ""glucose""}"
21981	entity_omission	0.938314	Review unannotated 'glucose' as COMPOUND; the exact mention is labeled COMPOUND in 49 other occurrences.	"{""end"": 113, ""kind"": ""add_entity"", ""start"": 106, ""suggested_label"": ""COMPOUND"", ""text"": ""glucose""}"	"{""label"": ""COMPOUND"", ""support"": 49, ""surface"": ""glucose""}"
