_minimum_score	_relation	_source	_target	article_version	candidate_id	end	end_strain	entities	ner	ner_score	ontology	ontology_id	ontology_label	ontology_status	paragraph	pmcid	rel	relations	review_direction	review_rank	score_rel	score_strain	sentence_range	skipped_relations	start	start_strain	straininfo_si_id	straininfo_taxon	text	word	word_qc_group	word_strain	word_strain_qc
0.907394289970398	INFECTS	SI-ID233177	NCBITaxon:4100	PMC9302119.1	network_disagreement_4c0b98ae9208c5	145	54	2	ORGANISM	0.9673974215984344	NCBITAXON	NCBITaxon:4100	Nicotiana benthamiana	matched	3	PMC9302119	STRAIN-ORGANISM:INFECTS	1	new_only	1	0.907394289970398	0.9632449150085449	7	0	124	48	233177	Ralstonia solanacearum	On the other hand, R. pseudosolanaceraum strain SL1931 is not virulent to A. thaliana but causes severe disease symptoms in Nicotiana benthamiana .	nicotiana benthamiana	nicotiana benthamiana	sl1931	sl1931
0.6366814374923706	INFECTS	SI-ID373062	NCBITaxon:9685	PMC7048021.1	network_disagreement_6a54a9bd055447	244	110	2	ORGANISM	0.8852713108062744	NCBITAXON	NCBITaxon:9685	Felis catus	matched	2	PMC7048021	STRAIN-ORGANISM:INFECTS	1	new_only	2	0.8873999118804932	0.6366814374923706	3	0	240	100	373062	Leptospira borgpetersenii	Scarcely a handful of cases have serological evidence of immune response against Leptospira serovar Bratislava representing serogroup Australis, a serovar associated with poor reproductive performance in swine and horses, and recently with cats.	cats	cats	bratislava	bratislava
0.809719055891037	INFECTS	SI-ID118386	non-human primates	PMC10566429.1	network_disagreement_fbd349d6a620cd	143	21	2	ORGANISM	0.809719055891037				unmatched	21	PMC10566429	STRAIN-ORGANISM:INFECTS	1	new_only	3	0.8858291506767273	0.9865624308586121	5	0	126	14	118386	Streptococcus pyogenes	Additionally, MGAS315 is highly virulent (requiring a low inoculum), and it is used in a variety of animal models including a non-human primate model of lower respiratory tract infection.	non-human primate	non-human primates	mgas315	mgas315
0.5662457942962646	INFECTS	SI-ID404498	a549 human lung cancer	PMC12504166.1	network_disagreement_1252c8cb9b6672	22	213	2	ORGANISM	0.5662457942962646				unmatched	14	PMC12504166	STRAIN-ORGANISM:INFECTS	1	new_only	4	0.8848377466201782	0.9882208108901978	1-4	0	0	195	404498	Pseudomonas aeruginosa	A549 human lung cancer epithelial cells (American Type Culture Collection, Manassas, VA, USA) were rinsed and incubated in a serum-free medium for 1 h. Subsequently, the cells were infected with P. aeruginosa PA14, prepared in PBS from the logarithmic growth phase, at a multiplicity of infection of 100:1 [ 36 ]. Cytotoxic effects were assessed 4 h post-infection using Trypan blue (Sigma-Aldrich, St. Louis, MO), which stained non-viable cells blue.	a549 human lung cancer	a549 human lung cancer	p. aeruginosa pa14	p. aeruginosa pa14
0.6730126738548279	INFECTS	SI-ID39056	bmecs	PMC8636274.1	network_disagreement_0d25f4fe5e9266	5	47	2	ORGANISM	0.6730126738548279				unmatched	13	PMC8636274	STRAIN-ORGANISM:INFECTS	1	new_only	5	0.8800774812698364	0.6906082630157471	1-3	0	0	36	39056	Staphylococcus aureus subsp. aureus	BMECs were infected with S. aureus (ATCC 27543) for 2 h at an MOI of 30, and the extracellular bacteria were killed and lysed with antibiotics and lysozyme. Intracellularly infected cell cultures were continued and maintained in medium for 2, 4, and 8 h. The cells were lysed, and the number of intracellular bacteria was determined by spread plate method.	bmecs	bmecs	atcc 27543)	atcc 27543)
0.8053516745567322	INFECTS	SI-ID413604	hela	PMC8443034.1	network_disagreement_7daf6545bb2c12	147	240	2	ORGANISM	0.8053516745567322				unmatched	23	PMC8443034	STRAIN-ORGANISM:INFECTS	1	new_only	6	0.8756807446479797	0.9902215600013733	4-5	0	143	223	413604		Apoptosis is usually also characterized by the presence of proteolytically active caspases [ 62 ]. To investigate the involvement of caspases, HeLa cells were treated with the pan-caspase inhibitor Z-VAD-fmk, infected with S . aureus RN4220 p hld - scp AB and cytotoxicity was determined six hours post-infection by measurement of LDH release ( Fig 6B ).	hela	hela	s . aureus rn4220	s . aureus rn4220
0.8752548694610596	INFECTS	SI-ID38578	NCBITaxon:8493	PMC3335035.1	network_disagreement_4e8d39d6c1db9b	410	187	2	ORGANISM	0.911476194858551	NCBITAXON	NCBITaxon:8493	Crocodylidae	matched	22	PMC3335035	STRAIN-ORGANISM:INFECTS	1	new_only	7	0.8752548694610596	0.9029151201248169	8-9	0	400	174	38578	Mycoplasmopsis bovis	M. fermentans is a human pathogen causing respiratory illness and arthritis, whereas M. agalactiae infects sheep and goats and causes mastitis, arthritis, and pneumonia, and M. bovis PG45 causes respiratory disease, mastitis, and arthritis in cattle. The reptilian pathogen M. crocodyli is the third most similar mycoplasmal species compared with M. fermentans that causes exudative polyarthritis in crocodiles.	crocodiles	crocodiles	m. bovis pg45	m. bovis pg45
0.8033841848373413	INFECTS	SI-ID372627	NCBITaxon:10026	PMC4492770.1	network_disagreement_57755a130b394f	72	135	2	ORGANISM	0.9208457469940186	NCBITAXON	NCBITaxon:10026	Cricetinae	matched	20	PMC4492770	STRAIN-ORGANISM:INFECTS	1	new_only	8	0.8648820519447327	0.8033841848373413	1	0	64	125	372627	Leptospira interrogans	Leptospiral burden was significantly higher in liver tissues of hamsters infected with serovar Manilae as opposed to serovar Hebdomadis (p < 0.01; Fig 1 ); significant differences were not observed in other tissues of hamsters infected with strains of the two serovars.	hamsters	hamsters	hebdomadis	hebdomadis
0.7675764560699463	INFECTS	SI-ID204628	domestic	PMC9503773.1	network_disagreement_6de4d773688c26	71	171	2	ORGANISM	0.7675764560699463				unmatched	33	PMC9503773	STRAIN-ORGANISM:INFECTS	1	new_only	9	0.8586000204086304	0.9763413667678833	1-2	0	63	153	204628	Mycobacterium tuberculosis variant bovis	Domestic pigs have been recently used as a model to understand domestic animals and human TB [ 30 , 305 , 306 , 307 ]. Pigs experimentally infected with M. bovis AF2122/97 exhibited greater morbidity, rapid onset mortality, severe pathology, and weight loss, as compared to less severe disease in those infected with M. tuberculosis Erdman [ 30 ].	domestic	domestic	m. bovis af2122/97	m. bovis af2122/97
0.8577680587768555	INFECTS	SI-ID4758	NCBITaxon:8022	PMC8645940.1	network_disagreement_ff0b9831be1f4d	255	69	2	ORGANISM	0.9159817397594452	NCBITAXON	NCBITaxon:8022	Oncorhynchus mykiss	matched	44	PMC8645940	STRAIN-ORGANISM:INFECTS	1	new_only	10	0.8577680587768555	0.9543009996414185	4-5	0	242	43	4758	Renibacterium salmoninarum	Compared to other R. salmoninarum strains, R. salmoninarum ATCC 33209 has a reduced virulence. For example, this strain showed lower virulence in chinook and coho salmon compared to the other isolates, and it is not capable of causing BKD in rainbow trout ( 45 , 64 ).	rainbow trout	rainbow trout	r. salmoninarum atcc 33209	r. salmoninarum atcc 33209
