task_id	category	score	summary	action	evidence
19171	ontology_entity_omission	0.99	Review unannotated 'glycerol' as COMPOUND; it uniquely matches CHEBI:17754 (glycerol).	"{""end"": 167, ""kind"": ""add_entity"", ""start"": 159, ""suggested_label"": ""COMPOUND"", ""text"": ""glycerol""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 10, ""concept_id"": ""CHEBI:17754"", ""concept_label"": ""glycerol"", ""match_mode"": ""normalized"", ""matched_alias"": ""glycerol"", ""ontology"": ""CHEBI"", ""tier"": ""annotation_and_ontology""}"
19486	ontology_entity_omission	0.99	Review unannotated 'glycerol' as COMPOUND; it uniquely matches CHEBI:17754 (glycerol).	"{""end"": 145, ""kind"": ""add_entity"", ""start"": 137, ""suggested_label"": ""COMPOUND"", ""text"": ""glycerol""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 10, ""concept_id"": ""CHEBI:17754"", ""concept_label"": ""glycerol"", ""match_mode"": ""normalized"", ""matched_alias"": ""glycerol"", ""ontology"": ""CHEBI"", ""tier"": ""annotation_and_ontology""}"
19631	ontology_entity_omission	0.99	Review unannotated 'glycerol' as COMPOUND; it uniquely matches CHEBI:17754 (glycerol).	"{""end"": 77, ""kind"": ""add_entity"", ""start"": 69, ""suggested_label"": ""COMPOUND"", ""text"": ""glycerol""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 10, ""concept_id"": ""CHEBI:17754"", ""concept_label"": ""glycerol"", ""match_mode"": ""normalized"", ""matched_alias"": ""glycerol"", ""ontology"": ""CHEBI"", ""tier"": ""annotation_and_ontology""}"
19632	ontology_entity_omission	0.99	Review unannotated 'tetracycline' as COMPOUND; it uniquely matches CHEBI:27902 (tetracycline).	"{""end"": 115, ""kind"": ""add_entity"", ""start"": 103, ""suggested_label"": ""COMPOUND"", ""text"": ""tetracycline""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 12, ""concept_id"": ""CHEBI:27902"", ""concept_label"": ""tetracycline"", ""match_mode"": ""normalized"", ""matched_alias"": ""tetracycline"", ""ontology"": ""CHEBI"", ""tier"": ""annotation_and_ontology""}"
19634	ontology_entity_omission	0.99	Review unannotated 'glycerol' as COMPOUND; it uniquely matches CHEBI:17754 (glycerol).	"{""end"": 48, ""kind"": ""add_entity"", ""start"": 40, ""suggested_label"": ""COMPOUND"", ""text"": ""glycerol""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 10, ""concept_id"": ""CHEBI:17754"", ""concept_label"": ""glycerol"", ""match_mode"": ""normalized"", ""matched_alias"": ""glycerol"", ""ontology"": ""CHEBI"", ""tier"": ""annotation_and_ontology""}"
19635	ontology_entity_omission	0.99	Review unannotated 'glycerol' as COMPOUND; it uniquely matches CHEBI:17754 (glycerol).	"{""end"": 73, ""kind"": ""add_entity"", ""start"": 65, ""suggested_label"": ""COMPOUND"", ""text"": ""glycerol""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 10, ""concept_id"": ""CHEBI:17754"", ""concept_label"": ""glycerol"", ""match_mode"": ""normalized"", ""matched_alias"": ""glycerol"", ""ontology"": ""CHEBI"", ""tier"": ""annotation_and_ontology""}"
19958	ontology_entity_omission	0.99	Review unannotated 'soil' as ISOLATE; it uniquely matches ENVO:00001998 (soil).	"{""end"": 174, ""kind"": ""add_entity"", ""start"": 170, ""suggested_label"": ""ISOLATE"", ""text"": ""soil""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 11, ""concept_id"": ""ENVO:00001998"", ""concept_label"": ""soil"", ""match_mode"": ""normalized"", ""matched_alias"": ""soil"", ""ontology"": ""ENVO"", ""tier"": ""annotation_and_ontology""}"
19958	ontology_entity_omission	0.99	Review unannotated 'soil' as ISOLATE; it uniquely matches ENVO:00001998 (soil).	"{""end"": 229, ""kind"": ""add_entity"", ""start"": 225, ""suggested_label"": ""ISOLATE"", ""text"": ""soil""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 11, ""concept_id"": ""ENVO:00001998"", ""concept_label"": ""soil"", ""match_mode"": ""normalized"", ""matched_alias"": ""soil"", ""ontology"": ""ENVO"", ""tier"": ""annotation_and_ontology""}"
19984	ontology_entity_omission	0.99	Review unannotated 'sucrose' as COMPOUND; it uniquely matches CHEBI:17992 (sucrose).	"{""end"": 98, ""kind"": ""add_entity"", ""start"": 91, ""suggested_label"": ""COMPOUND"", ""text"": ""sucrose""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 13, ""concept_id"": ""CHEBI:17992"", ""concept_label"": ""sucrose"", ""match_mode"": ""normalized"", ""matched_alias"": ""sucrose"", ""ontology"": ""CHEBI"", ""tier"": ""annotation_and_ontology""}"
20267	ontology_entity_omission	0.99	Review unannotated 'soil' as ISOLATE; it uniquely matches ENVO:00001998 (soil).	"{""end"": 71, ""kind"": ""add_entity"", ""start"": 67, ""suggested_label"": ""ISOLATE"", ""text"": ""soil""}"	"{""alias_scope"": ""LABEL"", ""annotated_support"": 11, ""concept_id"": ""ENVO:00001998"", ""concept_label"": ""soil"", ""match_mode"": ""normalized"", ""matched_alias"": ""soil"", ""ontology"": ""ENVO"", ""tier"": ""annotation_and_ontology""}"
