_sample_hash	article_version	candidate_id	end	end_strain	ner	ner_score	ontology	ontology_candidate_count	ontology_id	ontology_label	ontology_match_confidence	ontology_match_method	ontology_status	paragraph	pmcid	rel	review_rank	review_tier	score_rel	score_strain	seeded_entities	seeded_relations	seeded_skipped_relations	sentence_range	start	start_strain	straininfo_method	straininfo_si_id	straininfo_status	straininfo_taxon	text	word	word_qc_group	word_strain	word_strain_qc
1288809992704314	PMC8116571.1	pmc_candidate_ed57a113649dc3	167	205	COMPOUND	0.9806656241416931	CHEBI	1	CHEBI:16236	ethanol	1.0	direct_exact	matched	36	PMC8116571	STRAIN-COMPOUND:PRODUCES	1	high_grounded	0.9995618462562561	0.9634397625923157	8	4	0	1-3	160	184	contained_bounded	178823	unique	Kluyveromyces marxianus var. marxianus	K. marxianus and S. stipitis are industrially relevant ethanol producers under oxygen limiting conditions. As expected due to the fully aerobic environment, no ethanol was produced by K. marxianus CBS 6556 and S. stipitis CBS 5773. Only trace amounts of 2-PE and xylitol were produced by K. marxianus CBS 6556 and S. stipitis CBS 5773, respectively.	ethanol	ethanol	k. marxianus cbs 6556	k. marxianus cbs 6556
2641191652215125	PMC9332510.1	pmc_candidate_7ee2eb68e4a725	374	315	COMPOUND	0.9842958450317383	CHEBI	1	CHEBI:18135	catechol	1.0	direct_exact	matched	50	PMC9332510	STRAIN-COMPOUND:PRODUCES	2	high_grounded	0.9993857145309448	0.9851016700267792	6	4	0	3	366	294	contained_bounded	38608	unique	Klebsiella pneumoniae subsp. pneumoniae	Based on metabolic engineering ( Figure 4 ), the E. coli mutant AB2834 strain without shikimate dehydrogenase activity facilitated DHS accumulation and expressed the aroZ and aroY heterologous genes (encoding DHS dehydrogenase and protocatechuate decarboxylase, respectively) obtained from the K. pneumoniae A170-40 strain [ 92 , 93 ], resulting in a 33% a yield of catechol from glucose [ 93 ].	catechol	catechol	k. pneumoniae a170-40	k. pneumoniae a170-40
5544532067666551	PMC11659671.1	pmc_candidate_a76a93757bcbae	111	31	COMPOUND	0.9816967844963074	CHEBI	1	CHEBI:17968	butyrate	1.0	direct_exact	matched	34	PMC11659671	STRAIN-COMPOUND:PRODUCES	3	high_grounded	0.9998574256896973	0.9867082834243774	7	5	0	7	103	23	exact	398557	unique	Faecalicatena	For comparison, strain DSM22707 grown with glucose (6.41 ± 0.23 mM) produced acetate (7.87 ± 0.28 mM), butyrate (2.75 ± 0.12 mM), succinate (0.40 ± 0.04 mM), formate (0.48 ± 0.01 mM), but also no H 2 .	butyrate	butyrate	dsm22707	dsm22707
1590086037646132	PMC11376454.1	pmc_candidate_5eb258916729c3	66	26	COMPOUND	0.9939324259757996	CHEBI	1	CHEBI:6104	kanamycin	1.0	direct_exact	matched	20	PMC11376454	STRAIN-COMPOUND:RESISTS	4	high_grounded	0.9999556541442871	0.9762921929359436	10	4	0	5-7	57	20	exact	283402	unique	Rhizobium aouanii	Furthermore, strain 1AS14I T is resistant to lincomycin, kanamycin (10 µg ml −1 ), streptomycin (20 µg ml −1 ) and neomycin (20 µgml −1 ), but sensitive to erythromycin (20 µg ml −1 ). It is also capable of forming effective nitrogen-fixing nodules on Acacia saligna . The predominant fatty acid of the type strain 1AS14I T is summed feature 8 (C 18 : 1 ω7 c ).	kanamycin	kanamycin	1as14i	1as14i
1629624166020557	PMC4848111.1	pmc_candidate_1ad0e031a5258b	39	19	COMPOUND	0.9761147201061249	CHEBI	1	CHEBI:40009	D-cycloserine	1.0	direct_exact	matched	17	PMC4848111	STRAIN-COMPOUND:RESISTS	5	high_grounded	0.9972584247589111	0.941798746585846	4	3	0	5	26	0	contained_bounded	36901	unique	Mycobacterium tuberculosis variant bovis	M. bovis ATCC 19210 had a D-cycloserine MIC of 25 μg/mL ( Table 2 ), which is similar to the level of resistance observed in Δ ald and greater than the level of resistance observed in the M. tuberculosis reference strain, CDC1551.	d-cycloserine	d-cycloserine	m. bovis atcc 19210	m. bovis atcc 19210
15547350374889711	PMC5339346.1	pmc_candidate_e6dcb9ac66f88a	228	112	COMPOUND	0.9834764003753662	CHEBI	1	CHEBI:6104	kanamycin	1.0	direct_exact	matched	11	PMC5339346	STRAIN-COMPOUND:RESISTS	6	high_grounded	0.9977612495422363	0.9532601237297058	4	1	0	3-4	219	89	contained_bounded	406074	unique	Paracoccus denitrificans	These were cloned into pK18 mobsacB and the resultant plasmid pKH001 was conjugated into P. denitrificans PD1222 via triparental mating with E. coli harbouring the plasmid pRK2013 Transconjugants were selected first by kanamycin resistance, and subsequently, by selection on LB media containing sucrose. Double-cross over events were screened by PCR and isogenic fhp - P. denitrificans was verified by PCR and sequencing.	kanamycin	kanamycin	p. denitrificans pd1222	p. denitrificans pd1222
21317322327764588	PMC5383892.1	pmc_candidate_8b78aa31ea6274	140	249	DISEASE	0.9575709700584412	MONDO	1	MONDO:0005249	pneumonia	1.0	direct_exact	matched	2	PMC5383892	STRAIN-DISEASE:ASSOCIATED_WITH	7	high_grounded	0.9952540397644043	0.9772859811782837	12	15	0	1-2	131	240	exact	57795	unique	Streptococcus pneumoniae	Streptococcus pneumoniae is a pathogenic bacterium found most commonly in the respiratory tract of humans and is a common cause of pneumonia and bacterial meningitis. Here, we report the draft genome sequences of six S. pneumoniae strains: CCUG 1350, CCUG 7206, CCUG 11780, CCUG 33774, CCUG 35180, and CCUG 35272.	pneumonia	pneumonia	ccug 1350	ccug 1350
88336581865935751	PMC9309619.1	pmc_candidate_cc2005d544a283	341	254	DISEASE	0.9746431410312653	MONDO	1	MONDO:0042233	disseminated candidiasis	1.0	direct_exact	matched	9	PMC9309619	STRAIN-DISEASE:ASSOCIATED_WITH	8	high_grounded	0.9803562164306641	0.9556127786636353	8	3	0	1	317	248	exact	203512	unique	Candida albicans	All experiments were carried out using two lineages of C. albicans : L3881, initially referred to as L757 lineage, which was isolated from the blood of a 44-year-old patient who had candidemia and was cured clinically ( Padovan et al., 2009 ), and SC5314 lineage, which was first isolated in 1984 from a patient with disseminated candidiasis and has been widely used as a reference lineage ( Gillum et al., 1984 ).	disseminated candidiasis	disseminated candidiasis	sc5314	sc5314
179611569697689224	PMC3417403.1	pmc_candidate_3bb537edbff22f	107	119	DISEASE	0.9221874475479126	MONDO	1	MONDO:0043579	enteritis	1.0	direct_exact	matched	14	PMC3417403	STRAIN-DISEASE:ASSOCIATED_WITH	9	high_grounded	0.9988372921943665	0.9504097998142242	6	3	0	1-2	98	109	exact	10136	unique	Campylobacter concisus	Figura et al. ( 1993 ) reported the isolation of C. mucosalis from the feces of two children with enteritis (NCTC 12408 and NCTC 12407) from Sienna, Italy. The classification of these isolates as C. mucosalis was however later challenged by Lastovica et al. ( 1993 ) due to the limited number of phenotypic tests used by Figura et al. to classify them.	enteritis	enteritis	nctc 12408	nctc 12408
656127032773219227	PMC3622976.1	pmc_candidate_24f425e49b7898	107	272	ORGANISM	0.956110417842865	NCBITAXON	1	NCBITaxon:3520	Casuarinaceae	1.0	direct_exact	matched	4	PMC3622976	STRAIN-ORGANISM:SYMBIONT_OF	10	high_grounded	0.9525741338729858	0.9774504899978638	6	8	0	1-2	94	266	exact	405251	unique	Frankia alni	Members of cluster I Frankia strains are known to associate with Betulaceae, Myricaceae , and Casuarinaceae plants (except Gymnostoma ) and include both narrow-host-range and mid-host-range symbionts. Since only two members of cluster I have been sequenced, strains ACN14a and CcI3 ( 8 ), another cluster I strain was sequenced to increase our understanding of this Frankia group and its host plant range.	casuarinaceae	casuarinaceae	acn14a	acn14a
