text	pmcid	article_version	paragraph	sentence_range	rel	straininfo_si_id	straininfo_taxon	word_strain_qc	ner	word_qc_group	ontology_id	ontology_label	score_rel	ner_score	score_strain	strain_taxonomy_id	strain_taxonomy_label
Virus PBCV-1 and its antigenic mutants were grown by infection of Chlorella variabilis NC64A cells, virus ATCV-1 was grown by infection of Chlorella heliozoae SAG 3.83, and virus Osy-NE-5 was grown by infection of Chlorella variabilis Syngen 2-3, as described previously 6 . The virus purification procedure is described in detail elsewhere 35 . Briefly, 3-day-old chlorella cell lysates were treated with 1% Triton X-100 at room temperature with constant mixing for 1 h.	PMC11659582	PMC11659582.1	28	1-3	STRAIN-ORGANISM:INFECTS	350176	Chlorella	chlorella variabilis syngen 2-3	ORGANISM	chlorella	NCBITaxon:3071	Chlorella	0.5283509492874146	0.9022016525268555	0.6996750831604004	NCBITaxon:3071	Chlorella
Similarly, non-leishmanial protozoan DNA was extracted from blood specimen positive for Plasmodium species , Trypanosoma cruzi and Trypanosoma brucei , and from parasite cultures of Toxoplasma gondii RH strain (courtesy of Gary E. Ward, University of Vermont), Giardia lamblia ATCC® 30957 (courtesy of Gaetan Faubert, Institute of Parasitology, Quebec), Cryptosporidium parvum Iowa strain (courtesy of Michael Arrowood, Center for Disease Control) and Entamoeba histolytica ATCC® 30015.	PMC4855858	PMC4855858.1	15	7-8	STRAIN-ORGANISM:INFECTS	350665	Giardia intestinalis	atcc® 30957	ORGANISM	giardia lamblia	NCBITaxon:5741	Giardia duodenalis	0.5721102952957153	0.9456837475299835	0.8582074642181396	NCBITaxon:5741	Giardia duodenalis
Candida glabrata strain CBS 138 (ATCC 2001) was cultured in YPD media at 30°C and concentrated to OD 600 = 50 in 20% glycerol for infection. Fusarium oxysporum f. sp. lycopersici (obtained from the Fungal Genetics Stock Center) was cultured on oatmeal agar plates for 7–10 days at 29°C before being strained through steel wool to isolate spores. Purified spores were resuspended in 20% glycerol and stored at -80°C until infection.	PMC4411088	PMC4411088.1	46	5-7	STRAIN-ORGANISM:INFECTS	64171	Nakaseomyces glabratus	cbs 138	ORGANISM	candida glabrata	NCBITaxon:5478	Nakaseomyces glabratus	0.9995335340499878	0.7300702631473541	0.5951497554779053	NCBITaxon:5478	Nakaseomyces glabratus
The combined dataset consisted of 306 strains, representing botryosphaerialean taxa ( Aplosporellaceae = 14, Botryosphaeriaceae = 236, Melanopsaceae = 4, Phyllostictaceae = 19, Planistromellaceae = 16, Saccharataceae = 17) and two outgroup taxa, Helicosporium guianense (CBS 269.52) and Helicomyces roseus (CBS 283.51) from Tubeufiaceae . The aligned dataset comprised 1452 characters including gaps (LSU = 880, ITS = 572).	PMC9961722	PMC9961722.1	23	1-2	STRAIN-ORGANISM:INHABITS	175545	Acanthohelicospora guianensis	cbs 269.52	ORGANISM	helicosporium guianense	NCBITaxon:314172	Acanthohelicospora guianensis	0.9949001669883728	0.8621642291545868	0.800014317035675	NCBITaxon:314172	Acanthohelicospora guianensis
Methanococcus maripaludis C5 cells were a kind gift of W.B. Whitman (Georgia). Clostridium thermocellum (DSM1237) cells were obtained from DSMZ (German collection of micro-organisms and cell cultures). All E. coli cells were grown in LB-media with appropriate antibiotics at 37°C and shaking at 200 rpm.	PMC3479195	PMC3479195.1	8	1-4	STRAIN-ORGANISM:INHABITS	10383	Acetivibrio thermocellus	dsm1237	ORGANISM	clostridium thermocellum	NCBITaxon:1515	Acetivibrio thermocellus	0.9870296716690063	0.6638357043266296	0.8508371114730835	NCBITaxon:1515	Acetivibrio thermocellus
An additional isolate of the anamorph, Acrogenospora sphaerocephala ( CBS 164.76 ), further supports the current placement of the genus Farlowiella .	PMC2816966	PMC2816966.1	220	8	STRAIN-ORGANISM:INHABITS	155486	Acrogenospora carmichaeliana	cbs 164.76	ORGANISM	acrogenospora sphaerocephala	NCBITaxon:286007	Acrogenospora carmichaeliana	0.9994319081306458	0.9689777195453644	0.8689348995685577	NCBITaxon:286007	Acrogenospora carmichaeliana
Six of the 12 strains were obtained from the Deutsche Sammlung von Mikroorganismen und Zellkulturen (DSMZ) GmbH (Braunschweig, Germany), namely Ustilago maydis (DSM 4500, Ustilagomycotina, Basidiomycota), Leucosporidium scottii (DSM 4636, Pucciniomycotina, Basidiomycota), Wallemia sebi (DSM 5329, Wallemiomycotina, Basidiomycota), Taphrina deformans (DSM 4398, Taphrinomycotina, Ascomycota), Coemansia erecta (DSM 6933, Kickxellomycotina, Zoopagomycota), and Allomyces arbuscula (DSM 955, Blastocladiomycota).	PMC6247509	PMC6247509.1	42	5	STRAIN-ORGANISM:INHABITS	111975	Allomyces arbusculus	dsm 955	ORGANISM	allomyces arbuscula	NCBITaxon:64504	Allomyces arbusculus	0.9994557499885559	0.9798460006713867	0.950169175863266	NCBITaxon:64504	Allomyces arbusculus
Enterococcus faecalis (ATCC 4034), Filifactor alocis (ATCC 35896), Fusobacterium nucleatum (ATCC 25586), Gemella morbillorum (ATCC 27824), Parvimonas micra (ATCC 33270), Porphyromonas endodontalis (ATCC 35406), Porphyromonas gingivalis (ATCC 33277), Prevotella intermedia (ATCC 25611), Prevotella nigrescens (ATCC 33536), Prevotella tannerae (ATCC 51259), Tannerella forsythia (ATCC 43037), Treponema denticola (ATCC 35405), and Treponema socranskii (ATCC 35536).	PMC4053619	PMC4053619.1	26	1	STRAIN-ORGANISM:INHABITS	46354	Alloprevotella tannerae	atcc 51259	ORGANISM	prevotella tannerae	NCBITaxon:76122	Alloprevotella tannerae	0.9997867941856384	0.6848337650299072	0.8662121593952179	NCBITaxon:76122	Alloprevotella tannerae
The reference dermatophyte strains, including Trichophyton tonsurans CBS 118.65, Trichophyton rubrum CBS 120358, Trichophyton interdigitale CBS 124408, Microsporum canis CBS 11348, Chrysosporium keratinophilum CBS 104.62, Chrysosporium queenslandicum CBS 280.77, Chrysosporium pannicola CBS 116.63, and Chrysosporium tropicum CBS 171.62 from Westerdijk Fungal Biodiversity Institute (formerly CBS-KNAW Collections), the Netherlands, were used in this study.	PMC12525150	PMC12525150.1	27	1	STRAIN-ORGANISM:INHABITS	74382	Aphanoascus verrucosus	cbs 171.62	ORGANISM	chrysosporium tropicum	NCBITaxon:180776	Aphanoascus verrucosus	0.9418684244155884	0.9049538671970367	0.7975364327430725	NCBITaxon:180776	Aphanoascus verrucosus
GenBank accession numbers: Trichosporon loubieri ( AB001759 ), Trichosporon dulcitum ( AB001755 ), Trichosporon gracile ( AB001756 ), Trichosporon multisporum ( AB001764 ), Cryptococcus fragicola ( AB035588 ), Trichosporon ovoides ( AB001765 ), Bullera formosensis ( AB072235 ), Kockovaella calophylli ( AB042222 ), Trichosporon loubieri strain ATCC MYA-26 ( AY101607 ), T richosporon loubieri strain CBS 7065 ( AF444438 ), Trichosporon mycotoxinivorans ( AJ601389 ), Trichosporon multisporum strain CBS2495 ( AF414695 ), Trichosporon gracile strain CBS 8519 ( AF444456 ), Trichosporonales sp. LM117 ( EF060484 ), Trichosporon otae ( AB180196 ), Cryptococcus laurentii strain WM 601 ( EF568051 ), Cryptococcus curvatus strain ATCC 10567 ( EU266558 ).	PMC3859043	PMC3859043.1	13	3	STRAIN-ORGANISM:INHABITS	179292	Apiotrichum gracile	cbs 8519	ORGANISM	trichosporon gracile	NCBITaxon:82516	Apiotrichum gracile	0.9998859167098999	0.9795742630958557	0.7808271646499634	NCBITaxon:82516	Apiotrichum gracile
